date,aan-zet,cijferblok,in-het-midden,koprol,precies-vier,scrypto,sudoku,vorto,woordzoeker
2025-07-15,False,False,False,False,False,False,True,False,False
2025-07-16,False,True,False,False,False,False,False,False,False
2025-07-17,False,True,False,False,False,False,False,False,False
2025-07-22,False,True,False,False,False,False,False,False,False
2025-07-23,False,True,False,False,False,False,False,False,False
2025-07-24,False,True,False,False,False,False,False,False,False
2025-07-26,False,True,False,False,False,False,False,False,False
2025-07-31,False,True,False,False,False,False,False,False,False
2025-08-04,False,True,False,False,False,False,False,False,False
2025-08-05,False,True,False,False,False,False,False,False,False
2025-08-06,False,True,False,False,False,False,False,False,False
2025-08-08,False,True,False,False,False,False,False,False,False
2025-08-12,False,True,False,False,False,False,False,False,False
2025-08-23,False,True,False,False,False,False,False,False,False
2025-09-03,False,True,False,False,False,False,False,False,False
2025-09-22,False,True,False,False,False,False,False,False,False
2026-01-13,False,False,False,False,False,False,True,False,False
2026-01-27,False,False,False,True,False,False,False,False,False
2026-02-03,False,True,False,False,False,False,False,False,False
2026-03-09,False,False,False,False,False,False,False,True,False
2026-03-10,False,False,False,False,False,False,False,True,False
2026-03-11,False,False,False,False,False,False,False,True,False
2026-03-12,False,False,False,False,False,False,False,True,False
2026-03-16,False,False,False,False,False,False,False,True,False
2026-03-17,False,False,False,False,False,False,False,True,False
2026-03-18,False,False,False,False,False,False,False,True,False
2026-03-19,False,False,False,False,False,False,False,True,False
2026-03-20,False,False,False,False,False,False,False,True,False
2026-03-21,False,False,False,False,False,False,False,True,False
2026-03-22,False,False,False,False,False,False,False,True,False
2026-03-23,False,False,False,False,False,False,False,True,False
2026-03-24,False,False,False,False,False,False,False,True,False
2026-03-25,False,False,False,False,False,False,True,True,False
2026-03-26,False,False,False,False,False,False,False,True,False
2026-03-27,False,False,False,False,False,False,False,True,False
2026-03-28,False,False,False,False,False,False,False,True,False
2026-03-29,False,False,False,False,False,False,False,True,False
2026-03-30,False,False,False,False,False,False,False,True,False
2026-03-31,False,False,False,False,False,False,False,True,False
2026-04-01,False,False,False,False,False,False,False,True,False
2026-04-02,False,False,False,False,False,False,False,True,False
2026-04-03,False,False,False,False,False,False,False,True,False
2026-04-04,False,False,False,False,False,False,False,True,False
2026-04-05,False,False,False,False,False,False,False,True,False
2026-04-06,False,False,False,False,False,False,False,True,False
2026-04-07,False,False,False,False,False,False,False,True,False
2026-04-08,True,False,False,False,False,False,False,True,False
2026-04-09,False,False,False,False,False,False,False,True,False
2026-04-10,False,False,False,False,False,False,False,True,False
2026-04-11,False,False,False,False,False,False,False,True,False
2026-04-12,False,False,False,False,False,False,False,True,False
2026-04-15,False,False,False,False,False,False,False,True,False
2026-04-17,False,False,False,False,False,False,False,True,False
2026-04-20,False,False,False,False,False,False,False,True,False
2026-04-21,False,False,False,False,True,False,False,True,False
2026-04-22,False,False,False,False,False,False,False,True,False
2026-04-23,False,False,False,False,False,False,False,True,False
2026-04-24,False,False,False,False,False,False,False,True,False
2026-04-26,False,False,False,False,False,False,False,True,False
2026-04-27,False,False,False,False,False,False,False,True,False
2026-04-28,False,False,False,False,False,False,False,True,False
2026-04-29,False,False,False,False,False,False,False,True,False
2026-05-04,False,False,False,False,False,False,False,True,False
2026-05-05,False,False,False,False,False,False,False,True,False
2026-05-06,False,False,False,False,False,False,False,True,False
2026-05-07,False,False,False,False,False,False,False,True,False
2026-05-08,False,False,False,False,False,False,False,True,False
2026-05-09,False,False,False,False,False,False,False,True,False
2026-05-10,False,False,False,False,False,False,False,True,False
2026-05-11,False,False,False,False,False,False,False,True,False
2026-05-12,False,False,False,False,False,False,False,True,False
2026-05-13,False,False,False,False,False,False,False,True,False
2026-05-14,False,False,False,False,False,False,False,True,False
2026-05-15,False,False,False,False,False,False,False,True,False
2026-05-16,False,False,False,False,False,False,False,True,False
2026-05-17,False,False,False,False,False,False,False,True,False
2026-05-18,False,False,False,False,False,False,False,True,False
2026-05-19,False,False,False,False,False,False,False,True,False
2026-05-21,False,False,False,False,False,False,False,True,False
2026-05-22,False,False,False,False,False,False,False,True,False
2026-05-24,False,False,False,False,False,False,False,True,False
2026-05-25,False,False,False,False,False,False,False,True,False
2026-05-28,False,False,False,False,False,False,False,True,False
2026-06-01,False,False,False,False,False,False,False,True,False
2026-06-03,False,False,False,False,False,False,False,True,False
2026-06-04,False,False,False,False,False,False,False,True,False
2026-06-05,False,False,False,False,False,False,True,True,False
2026-06-08,False,False,False,False,False,False,True,True,False
2026-06-09,False,True,False,False,False,False,True,False,False
2026-06-11,False,False,False,False,False,False,True,False,False
2026-06-13,False,False,False,False,False,False,True,True,False
2026-06-15,False,False,False,False,True,False,False,False,False
2026-06-16,False,False,False,False,False,False,False,True,False
2026-06-17,False,False,False,False,False,False,False,True,False
2026-06-22,False,False,False,False,True,False,True,True,False
2026-06-24,False,False,False,False,True,False,False,False,False
2026-06-26,False,False,False,False,False,False,False,True,False
2026-06-27,False,False,False,False,False,False,False,True,False
2026-06-28,False,False,False,False,False,False,False,True,False
2026-06-29,False,False,False,False,False,False,False,True,False
2026-06-30,False,False,False,False,True,False,False,True,False
2026-07-01,False,False,False,False,False,False,False,True,False
2026-07-06,False,False,False,False,False,False,False,True,False
2026-07-08,False,False,False,False,False,False,False,True,False
2026-07-09,False,False,False,False,True,False,False,False,False
2026-07-10,False,False,False,False,False,False,False,True,False
2026-07-19,False,False,False,False,True,False,False,False,False
2026-07-27,False,False,False,False,True,False,False,False,False
2026-07-28,False,True,False,False,True,False,True,False,False
2026-07-29,False,False,False,False,False,False,False,True,False
